491d1bf1c	f2bea1560	Sun Jul 16 06:50:34 2023 +0200	Fixed memory leak.
2366b767c	d339bedcd	Thu Jul 13 20:47:36 2023 +0200	Fixed reading MPO image (#6475)
d0f208b96	88e39641b	Sat Jul 1 12:43:23 2023 -0400	fix proper scaling of Oklab colorspace
905b2d26e	46985cabc	Mon Jun 19 18:53:35 2023 +0200	Fixed build on Windows.
8926ea965	82c701463	Sun Jun 11 15:44:47 2023 +0200	Fixed build.
d32677a65	ddb6b02d8	Sat May 27 09:12:31 2023 +0200	Swap order to fix #6347.
fac0ea801	bb3d969bf	Fri May 26 19:12:43 2023 +0200	Fixed the calculation of the clut_size to resolve the issue reported in: https://github.com/ImageMagick/ImageMagick/security/advisories/GHSA-xfwq-qg5m-83xr.
3b5d98645	2fbf9383c	Sat May 20 11:52:03 2023 +0200	Fixed Windows build.
f9c9da14c	8ce040342	Thu May 18 09:11:18 2023 +0200	Fixed MSYS2 build error.
741047443	402c32d88	Wed May 3 21:42:27 2023 +0200	Try to add libde265 to the linking to fix the fuzz build.
78347b5f0	6a94dd852	Tue Apr 18 17:42:43 2023 +0200	Fix typo that caused a division by zero in #6263.
fecd25392	589856f54	Sun Apr 16 12:26:34 2023 +0200	Removed debug printf statement...
3e49a0574	f311596f4	Mon Apr 10 20:24:24 2023 +0200	Clang needs different flags to fix the build.
35152a119	38ecac1ea	Mon Apr 10 16:30:23 2023 +0200	Use different notation to fix the macos build.
178f677f6	fc7bb1d86	Sat Apr 8 15:13:30 2023 +0200	Fixed build error.
84d7ad135	75e4766e0	Sat Mar 11 05:29:34 2023 -0500	fix memory leak in cloning DrawInfo structure (https://github.com/ImageMagick/ImageMagick/issues/6149)
82c2e6154	ecf37396e	Thu Mar 9 08:11:47 2023 -0500	restore library symbol versioning to fix ABI break (#6145)
f73a3d1a0	25d9d2970	Sat Mar 4 22:00:59 2023 +0100	Fixed printing of the delegates when running configure.
d1e4d786a	bead12a05	Thu Mar 2 15:23:48 2023 -0500	more fixes for multispectral support
033e2559e	03f066389	Sun Feb 26 21:34:45 2023 +0100	site: fix typo for compare
0a3c9ed40	361a40fbd	Fri Feb 10 18:13:23 2023 +0100	Fix EOI marker detection for Exif
eb7bf4a19	df5148e25	Sun Feb 5 10:16:08 2023 +0100	Fix wonky wording in SECURITY.md (#6033)
574684e5e	1175c9c31	Thu Feb 2 20:23:47 2023 +0100	Removed -static suffix.
977e449b4	d2079f187	Wed Feb 1 16:49:22 2023 +0100	Corrected the seek implementation (https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=55325).
e23ce3bc6	b236524b2	Tue Jan 31 22:04:10 2023 -0500	fix copyright
db4094037	3354da99d	Sat Jan 28 07:49:01 2023 +0100	Fixed implementation.
496415895	44e44441f	Fri Jan 27 20:19:06 2023 -0500	Fix for space handling in appimage path (#5993)
cd2d51c5f	da3602378	Thu Jan 26 06:28:48 2023 -0500	add MAGICKCORE namespace prefix
da3602378	7e5387583	Wed Jan 25 23:07:00 2023 -0500	add MAGICKCORE prefix
7e5387583	89ed3a846	Wed Jan 25 22:56:47 2023 -0500	SETJMP_IS_THREAD_SAFE symbol requires namespace prefix (https://github.com/ImageMagick/ImageMagick/discussions/4123)
d6b618806	119429c95	Tue Jan 17 10:39:28 2023 +0100	Fixed incorrect ping check.
213fc94bc	992006214	Sun Jan 8 11:55:58 2023 +0100	Add background color to colormap to avoid reading an uninitialized value due to increment of number_opaque (https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=54904).
403b38041	069a79144	Sat Jan 7 17:25:42 2023 +0100	Use white background for bmp3 with alpha to fix issue reported in #5555.
069a79144	c31bfaed8	Sat Jan 7 16:47:32 2023 +0100	Corrected colortype check to fix issue reported in #5491.
d6efc18d8	048d84736	Fri Jan 6 19:08:17 2023 +0100	Removed ping prefix and copy action of excludes that are never changed.
831880e8a	0e717cea5	Fri Jan 6 14:26:43 2023 +0100	Fixed setting the image type.
0d9594e2a	f220cb95f	Fri Jan 6 13:10:01 2023 +0100	Removed debug logging of versions.
03ca92174	c65c4ec71	Tue Jan 3 14:06:01 2023 -0500	Fix Exif reading for JPEG XL (#5932)
c65c4ec71	393c95ed0	Tue Jan 3 09:02:27 2023 -0500	Fix Exif writing for HEIF/JPEG XL (#5929)
df099dee7	555b2cda1	Thu Dec 29 14:58:59 2022 -0500	respect the TIFF offset prefix (https://github.com/ImageMagick/ImageMagick/issues/5768)
e5bf54d64	144764880	Thu Dec 15 13:06:41 2022 -0500	fix: small error in docs (#5882)
8a1ac3ec4	c327e0008	Fri Dec 2 06:27:52 2022 -0500	another approach to fix #5836 (#5841)
195fcde74	e2fe11bed	Wed Nov 30 20:41:49 2022 +0100	Fixed copy paste mistake.
5bb3d456d	66b148510	Tue Nov 29 08:32:23 2022 +0100	Fixed build.
d3acd2872	a3be60dcf	Mon Nov 21 17:08:25 2022 -0500	support addition Si prefixes
97d1574ba	0cbb5c716	Sun Nov 20 08:37:07 2022 -0500	Fix *arch-dir helpstring in configure.ac (#5780)
bf1a4f2d1	7c68a0e4d	Sun Nov 13 08:50:58 2022 +0100	Fixed build error.
381d6f022	77eccfc0c	Thu Nov 10 21:48:59 2022 +0100	Fixed build.
f9d96c703	24a4cd039	Sat Nov 5 12:20:50 2022 +0100	Fixed bug that was introduced when using the ElementInfo api.
9d98dadb2	d4ae038ca	Fri Nov 4 19:42:31 2022 +0100	Fixed unlock of semaphore.
d80fafec9	bc1e75ccf	Fri Nov 4 08:15:16 2022 +0100	Use the ElementInfo api and fixed return value of SetLogEventMask.
ad532fa54	7a2b09b5c	Thu Nov 3 08:11:13 2022 +0100	Another fix.
ffd7221e8	b4193e8e4	Thu Nov 3 08:04:45 2022 +0100	Fixed possible null reference.
b4193e8e4	c3f81bc68	Tue Nov 1 20:49:13 2022 -0400	fix monochrome colormap
