bcfa4d19	0765eaf8	Sat Jul 8 08:15:42 2023 -0400	Fix formatting (comment)
734e1815	f4907ff7	Sat Jun 17 13:17:11 2023 -0400	[BCEL-368] Fixes java.lang.StackOverflowError in Select#toString(boolean) #229
859578ef	3f7a8ec8	Sat Jun 17 06:39:19 2023 -0400	[BCEL-367] Fixes java.lang.IndexOutOfBoundsException for ATHROW on empty stack (#223)
387f5646	7634dd0e	Sat Jun 3 08:32:56 2023 -0400	Fix Javadoc 8 warnings
de3f8582	271fa3c5	Sun Apr 30 09:44:24 2023 -0400	Backout debugging and parent pom change.
be601c7e	de50ef79	Sun Apr 9 20:19:48 2023 -0400	Various bug fixes in the verifier (#181)
de50ef79	3e6dfa13	Sun Apr 9 16:14:44 2023 -0400	Revert "Variation on PR "Various bug fixes in the verifier #181""
3e6dfa13	f65bb1c6	Sun Apr 9 16:11:06 2023 -0400	Variation on PR "Various bug fixes in the verifier #181"
d6b9b485	3b0379a7	Sat Mar 25 19:59:41 2023 -0400	Fix URL
29175909	d1ef29c9	Sun Mar 19 09:02:05 2023 -0400	Fix null pointers in AnnotationEntry #213
d1ef29c9	aaa60bde	Sun Mar 19 09:01:35 2023 -0400	Fix null pointers in AnnotationEntry (#213)
6795814b	ff2e4cb4	Sun Feb 26 08:56:22 2023 -0500	Fix spelling
087a8680	8e4e7602	Fri Feb 3 08:48:53 2023 -0500	Pick up Spotbugs version from parent POM
efaba554	1730964c	Fri Jan 27 08:50:36 2023 -0500	Fix spelling
238cc49c	80ebdb74	Sun Jan 15 07:43:28 2023 -0500	POM project name should contain "Apache" prefix
80ebdb74	f26b4242	Sun Jan 15 07:35:08 2023 -0500	Fix typos
f26b4242	19b2d41e	Fri Jan 13 14:55:25 2023 -0500	Fix spelling
9ae35650	791184d3	Fri Jan 13 09:30:04 2023 -0500	Pick up spotbugs-maven-plugin version from parent
791184d3	22eb427c	Tue Jan 10 13:52:19 2023 -0500	Pick up spotbugs and spotbugs plugin versions from parent POM
2eb97367	ce634b1e	Sun Nov 27 18:04:21 2022 -0500	Fix possible NullPointerException in org.apache.bcel.classfile.StackMap.setStackMap(StackMapEntry[])
ce634b1e	be4aec1b	Sun Nov 27 18:02:20 2022 -0500	Fix compiler warning
31fe91e4	adc47a16	Thu Nov 24 08:17:55 2022 -0500	Fix spelling in comments
7acacff7	31eebe37	Tue Nov 22 09:40:43 2022 -0500	Fix exception message
21fc4ab6	d7f558d9	Tue Nov 22 07:44:25 2022 -0500	Sort fixes
d002e44d	428b65e0	Mon Nov 21 09:09:17 2022 -0500	Fix exception message per Mark Thomas' patch
acefe3e0	2a3b0eba	Sun Nov 20 14:57:58 2022 -0500	Code coverage and bug fixes for bcelifier #171
c96eb974	556b922f	Sun Nov 20 14:31:09 2022 -0500	Code coverage and bug fixes for bcelifier (#171)
1a99a1e5	467477cc	Sun Nov 20 10:17:49 2022 +0000	Fix an instance of IAE when it should be ClassFormatException
b686b69f	ca11ae53	Tue Nov 15 09:29:05 2022 -0500	Don't add SpotBugs errors, we have 15 on Java 8, 17 on Java 11 and up
ca11ae53	4e585413	Tue Nov 15 09:24:51 2022 -0500	Add SpotBugs to the default goal
