ghostpdl-20230629-ae26dddc1	ae26dddc1	28ed63e2c	Thu Jun 29 09:52:49 2023 +0100	oss-fuzz 60203/60204/60207: Fix mistakes in glyph_lenths table copying	commit ae26dddc15c9869864839853e87482468cab3db7Author: Chris Liddell <chris.liddell@artifex.com>Date:   Thu Jun 29 09:48:35 2023 +0100    oss-fuzz 60203/60204/60207: Fix mistakes in glyph_lenths table copying        Two mistakes: I used TrueNumGlyphs when it should have been numGlyphs - the    former is the value read from the font, the latter is the value derived from    the size of the loca table, and loca table is where the glyph_lenths table is    derived from.        Secondly, the glyph_lengths table is actually one entry larger than the loca    table.	60203	pdf/pdf_fontTT.c	711;723
ghostpdl-20221125-19d241ddb	19d241ddb	4c3575346	Fri Nov 25 09:23:19 2022 +0000	oss-fuzz 53711: Fix thinko in pdfi cmap code	commit 19d241ddb9aa65370bd176522e6c3317bd3be64dAuthor: Chris Liddell <chris.liddell@artifex.com>Date:   Thu Nov 24 17:38:29 2022 +0000    oss-fuzz 53711: Fix thinko in pdfi cmap code        When adding a range, copy the previous number of ranges multiplied by the size    of a range structure, rather than the previous number ranges bytes.	53711	pdf/pdf_cmap.c	123
ghostpdl-20220902-81c55ab19	81c55ab19	361febcf9	Fri Sep 2 11:31:55 2022 +0100	oss-fuzz 50893: xpswrite: Fix order of operations freeing TIFF object	commit 81c55ab199af28abf7e405f1e3ab2e76608b116bAuthor: Chris Liddell <chris.liddell@artifex.com>Date:   Fri Sep 2 10:55:52 2022 +0100    oss-fuzz 50893: xpswrite: Fix order of operations freeing TIFF object        We can't free our libtiff "client data) until we've completed writing the TIFF    (which also frees the libtiff context), but having completed writing the TIFF,    we can no longer access our client data through the libtiff context.        We have to retrieve a pointer to our client data, complete the TIFF writing    process, then free our client data using the pointer we previously retrieved.	50893	devices/vector/gdevxps.c	1790;2296;2575;2588
ghostpdl-20220823-f522a50e6	f522a50e6	fa1a910da	Tue Aug 23 09:26:02 2022 +0100	oss-fuzz 50527: Fix CIDtoGIDMap bounds check for CIDType2 fonts	commit f522a50e61c756930cd135116648b3b82baa33c9Author: Chris Liddell <chris.liddell@artifex.com>Date:   Tue Aug 23 09:05:51 2022 +0100    oss-fuzz 50527: Fix CIDtoGIDMap bounds check for CIDType2 fonts        in pdfi_cidtype2_get_glyph_index()	50527	pdf/pdf_font11.c	61;69
ghostpdl-20220819-eba337936	eba337936	71484d897	Fri Aug 19 15:06:13 2022 +0100	oss-fuzz 50326: Fix and use bounds check	commit eba3379360caec1d881d96c5d51ed4282278cd1fAuthor: Chris Liddell <chris.liddell@artifex.com>Date:   Thu Aug 18 17:14:22 2022 +0100    oss-fuzz 50326: Fix and use bounds check        for Type 1/2 charstring executaion state stack. The bounds checking macro was    incorrect, and wasn't being used in the minimal CharString interpreter used    by pdfwrite and co.	50326	base/gxtype1.c;base/gxtype1.h	1;459;479;498;1;196
ghostpdl-20220815-2b3b754fe	2b3b754fe	be2dd7803	Mon Aug 15 15:40:06 2022 +0100	oss-fuzz 50099: Fix mistake in setting CFF data buffer limit	commit 2b3b754fe12591dc26309fc92fcefac12ca5a6afAuthor: Chris Liddell <chris.liddell@artifex.com>Date:   Mon Aug 15 14:13:26 2022 +0100    oss-fuzz 50099: Fix mistake in setting CFF data buffer limit        for fdarray subfonts	50099	pdf/pdf_font1C.c	819;1833
ghostpdl-20220808-a94bc4791	a94bc4791	d7ce0ca73	Mon Aug 8 14:33:10 2022 +0100	oss-fuzz 49719: Fix clist copy mono case where "source" wasn't set	commit a94bc479111782659c4f1d164d49f68863cee383Author: Chris Liddell <chris.liddell@artifex.com>Date:   Mon Aug 8 12:22:33 2022 +0100    oss-fuzz 49719: Fix clist copy mono case where "source" wasn't set        by the reading code, so when the actual copy_mono device call happened, it    segfaulted.	49719	base/gxclrast.c	1146
ghostpdl-20220705-e950d1fa3	e950d1fa3	e784b3314	Tue Jul 5 10:50:18 2022 +0100	oss-fuzz 48547/48528/48526: Various TTF hinter fixes	commit e950d1fa30cda37cae4cc0553a4d24135fc09695Author: Chris Liddell <chris.liddell@artifex.com>Date:   Mon Jul 4 14:02:54 2022 +0100    oss-fuzz 48547/48528/48526: Various TTF hinter fixes        A couple of opcode functions in the bytecode interpreter were not bounds    checking the values they used.        If a bytcode execution context initialisation encountered an out of memory    error part way through, the remainder of the context would be left    uninitialised which could then lead to a later crash when cleaning up the    partially initialised context.	48547	base/ttinterp.c;base/ttobjs.c	1;1825;4378;4392;1;303
ghostpdl-20220503-12532548a	12532548a	a8a209fce	Tue May 3 11:48:29 2022 +0100	oss-fuzz 47157: Fix buffer limit for decoding pfb font streams	commit 12532548a94c94821da0238b84c04b918659eb4aAuthor: Chris Liddell <chris.liddell@artifex.com>Date:   Tue May 3 10:34:13 2022 +0100    oss-fuzz 47157: Fix buffer limit for decoding pfb font streams	47157	pdf/pdf_font1.c	373;391
ghostpdl-20220419-479649281	479649281	7286646af	Tue Apr 19 10:32:43 2022 +0100	Bug 705221(redux): "Reverse" original fix	commit 479649281467ca84a220873d51c7a461b5a78104Author: Chris Liddell <chris.liddell@artifex.com>Date:   Tue Apr 19 10:32:43 2022 +0100    Bug 705221(redux): "Reverse" original fix        Original fix was to make the chunk freeing code to identify single object    chunks match the allocating code - i.e. both using the "padded" size.        This appears to cause confusion with other areas in the code, leading to    potential segfaults.        This reverses that change, so both the allocating and freeing code use the    unpadded size.        This still solves the memory explosion bug, but doesn't cause the issues    identified by oss-fuzz 46830 and 46734.        Ultimately it may be preferable to revise the rest of the code to avoid the    confusion, but this avoids a flood of issues from oss-fuzz.	46830	base/gsmchunk.c	803;1118
