b4d3251	82b3597	Mon Aug 15 10:31:18 2022 -0400	Add missing #include to fix C++20 compile error. (#130)
82b3597	fd53959	Wed Aug 10 11:06:37 2022 -0400	Fix Wunqualified-std-cast-call warnings (#129)
2ee7aa2	962471a	Tue Mar 23 12:50:48 2021 +0000	Fix unused variable warnings in COLRv1 (#100)
afe87e6	a8ceb6c	Mon Feb 22 17:36:38 2021 +0000	Build fix when HAVE_ARCHIVE not available (#95)
a8ceb6c	4155a63	Mon Feb 22 17:33:02 2021 +0000	Fix unused variable build warnings/errors (#96)
4155a63	0cb328e	Mon Feb 22 17:32:21 2021 +0000	Fix unitialized value num_subrs sign comparison issues (#97)
f3e8aba	7ac6e6e	Thu Dec 10 13:08:05 2020 +0100	Fix \'libpng\' build (#91)
3a20806	1a5069b	Thu Oct 29 15:50:29 2020 +0000	Fix build warnings (#88)
6f46ee5	09a214b	Sun Jul 28 16:02:03 2019 +0100	Fix Travis CI Build - The automatic update to Xenial ships Clang 7 by default;  downgrade to Clang 5   fails the build.
8f20e93	9587fcd	Sun Mar 31 11:41:38 2019 +0100	Add recently fixed issue that was uncovered by OSS-Fuzz.
ab6d717	7e045f0	Thu Feb 21 10:58:40 2019 +0000	Add recently fixed issues that were uncovered by OSS-Fuzz.
5d93ce6	08b711d	Thu Nov 22 10:51:47 2018 +0000	Add recently fixed issues that were uncovered by OSS-Fuzz.
08b711d	7e860f4	Thu Nov 15 11:19:27 2018 +0000	Fix a lot of timeout issues with OSS-Fuzz: - Restrict the height of rendered glyphs to 5000 pixels.
7e860f4	4085682	Thu Nov 8 20:23:18 2018 +0000	Add recently fixed issues that were uncovered by OSS-Fuzz.
4085682	e9d2381	Tue Oct 30 10:45:50 2018 +0000	Add recently fixed issues that were uncovered by OSS-Fuzz.
f6fa2af	38bc17a	Sat Oct 6 12:40:59 2018 +0100	Add recently fixed issues that were uncovered by OSS-Fuzz.
38bc17a	fa25bfd	Fri Sep 14 12:21:00 2018 +0100	Add recently fixed issues that were uncovered by OSS-Fuzz.
518936d	842ea66	Wed Aug 29 11:20:50 2018 +0100	Add recently fixed issues that were uncovered by OSS-Fuzz.
453d715	c21120b	Mon Aug 20 00:32:25 2018 +0200	Use git protocol for checking out FreeType: - Due to an attack of Savannah. - Fix a path in `custom-build.sh\' on the fly.
6ce9451	2ec74e5	Sat Aug 18 18:32:37 2018 +0100	Add recently fixed issues that were uncovered by OSS-Fuzz.
2ec74e5	451c206	Wed Aug 15 15:53:54 2018 +0100	Fail more gracefully than ... ... https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=9914
b000e48	0c256f6	Tue Aug 14 10:35:25 2018 +0100	Add recently fixed issues that were uncovered by OSS-Fuzz.
4fa3193	a5ce748	Mon Aug 13 00:49:00 2018 +0100	Fix build issue of OSS-Fuzz: - The target `glyphs-outlines\' was not built (and returned an error);   introduced by 731c059129aeb228ea62d8cad40c71dcaa9530b2. - Call the legacy target\'s options file `legacy.options\' (makes sense,   right?).
a5ce748	731c059	Mon Aug 13 00:17:56 2018 +0100	Add two verified and fixed OSS-Fuzz findings.
b91ebf3	ce895f4	Fri Aug 3 23:28:03 2018 +0100	Add recently fixed issues that were uncovered by OSS-Fuzz.
