f60dbd906	d84c5f29b	Sat Jul 8 16:21:24 2023 -0600	Fix thinko	commit f60dbd906a4bf89354af1ed0616a61a5099d8c1aAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Jul 8 16:21:24 2023 -0600    Fix thinko        Fixes https://oss-fuzz.com/testcase-detail/4787105656864768
25297408d	a8c655e65	Mon Jul 3 10:35:27 2023 -0600	[COLR] Fix PaintComposite sanitize timeout	commit 25297408de73f8bf31ebecd241f959455ed00e95Author: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Jul 3 10:34:26 2023 -0600    [COLR] Fix PaintComposite sanitize timeout        Was timing out after recent sanitize() change.        Fixes https://oss-fuzz.com/testcase-detail/5692635449524224
62f5ed461	87b573615	Wed Jun 28 12:04:28 2023 -0600	[subset/cff] Fix an infinite loop	commit 62f5ed461ea5fa4fd63631ddeb505ea16e2becb4Author: Behdad Esfahbod <behdad@behdad.org>Date:   Wed Jun 28 12:02:52 2023 -0600    [subset/cff] Fix an infinite loop        Fixes https://oss-fuzz.com/testcase-detail/5419002026131456
347b94481	49c52fa95	Mon Jun 26 18:10:36 2023 -0600	[null] Fix getting Crap(hb_bytes_t)	commit 347b94481100d2eefc88c1e6bc71aa20dcb907bbAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Jun 26 18:09:40 2023 -0600    [null] Fix getting Crap(hb_bytes_t)        Fixes https://oss-fuzz.com/testcase-detail/6187272924692480
db700b567	e39c4cf5a	Tue Jun 13 08:42:36 2023 -0600	[subset] fix fuzzer timeout.	commit db700b5670d9475cc8ed4880cc9447b232c5e432Author: Garret Rieger <grieger@google.com>Date:   Mon Jun 12 23:38:26 2023 +0000    [subset] fix fuzzer timeout.        Fixes: https://oss-fuzz.com/testcase-detail/6681253479579648. Limits iteration of coverage table during MATH subset to valid glyphs.
f3b4d35f3	ff326fbe8	Tue May 30 18:56:48 2023 +0200	[subset] Fix fuzzer crash.	commit f3b4d35f362efb818959814b741e94facda5fd29Author: Garret Rieger <grieger@google.com>Date:   Mon May 29 22:38:40 2023 +0000    [subset] Fix fuzzer crash.        https://oss-fuzz.com/testcase-detail/6608005089853440
20c564bc7	5abe71320	Sat May 27 01:16:46 2023 +0200	[repacker] Fix fuzzer memory leak.	commit 20c564bc7620be7f9325376601797fc20622f845Author: Garret Rieger <grieger@google.com>Date:   Fri May 26 23:04:25 2023 +0000    [repacker] Fix fuzzer memory leak.        https://oss-fuzz.com/testcase-detail/6419865171525632
a652281ed	208c9490c	Sat May 27 00:25:47 2023 +0200	[subset] Fix fuzzer timeout.	commit a652281ed6125e49ab43f0b25e88bc72b2d98085Author: Garret Rieger <grieger@google.com>Date:   Fri May 26 19:47:50 2023 +0000    [subset] Fix fuzzer timeout.        Fixes https://oss-fuzz.com/testcase-detail/5979721620652032. Timeout was caused by degenerate map insert behaviour due to poor integer hash function. Presize the map to avoid it. Also fixes collect_mapping() for cmap format 13.
86658df5d	cda646a59	Fri May 5 16:10:46 2023 -0600	[ClassDef] Fix a fuzzer issue	commit 86658df5d29308d66ddead03f1112442df04ec27Author: Behdad Esfahbod <behdad@behdad.org>Date:   Fri May 5 16:10:46 2023 -0600    [ClassDef] Fix a fuzzer issue        Don't qsort an array that failed to allocate!        Fixes https://oss-fuzz.com/testcase-detail/6512559172485120
319a488b3	3f2401e2f	Thu May 4 10:36:48 2023 -0600	[GDEF] Fix null check	commit 319a488b3903cf92c3b45d1772717168a10f94d7Author: Behdad Esfahbod <behdad@behdad.org>Date:   Thu May 4 10:36:48 2023 -0600    [GDEF] Fix null check        Fixes https://oss-fuzz.com/testcase-detail/5920994267889664
b3fed4fa6	247ffe389	Thu Apr 27 17:18:47 2023 -0600	[repacker] fix fuzzer found memory leak.	commit b3fed4fa6465151e740bdbf5cfffb13298a57803Author: Garret Rieger <grieger@google.com>Date:   Thu Apr 27 22:13:30 2023 +0000    [repacker] fix fuzzer found memory leak.        Fixes https://oss-fuzz.com/testcase-detail/5196242811748352
