5dc826f	a809db7	Tue Jul 18 13:43:16 2023 +0100	Fix to 2e672f33 decompress_peek_gz change.
2e672f3	10f1516	Thu Jul 13 11:23:27 2023 +0100	Fix decompress_peek_gz to cope with files starting on empty gzip blocks.
6e3e8da	7822d8d	Thu Jul 13 10:19:51 2023 +0100	Fix possible double frees in bcf_hdr_add_hrec() error handling
f4a3b99	e86126b	Thu Jul 6 09:38:17 2023 +0100	Fix a containment bug in cram_index_last.
79b3a42	7f69840	Wed Jun 21 09:06:38 2023 +0100	htslib-s3-plugin.7: fix whatis entry
7f69840	5e0ccef	Sun Jun 11 18:50:59 2023 +0200	cram/cram_external.c: fix external htscodecs include
f613a93	90af5ee	Fri Jun 9 11:29:26 2023 +0100	Ensure NUL termination of Z/H data in sam_format_aux1; fix base mod state reuse
ccf7c99	abb4c73	Tue Jun 6 12:22:54 2023 +0100	Fix trailing space in config.h made by configure
e13611a	c04f61e	Tue May 16 13:48:50 2023 +0100	Fix fd_seek on pipes on modern MinGW releases.
415d2ce	279cc9e	Tue May 9 00:07:46 2023 +0900	Fix example in docs for sam_hdr_add_line
ca51cc5	07638e1	Tue Apr 18 12:05:06 2023 +0100	Fix typo in kh_int_hash_func2 macro.
93434e0	3e0fd29	Wed Apr 5 12:15:22 2023 +0100	Fix bug where bin number could overflow when looking for max_off
7ed911e	ffd74ec	Thu Mar 30 17:50:33 2023 +0100	Trivial fix to expr, removing "^".
839a2e9	dcd20d9	Mon Mar 13 12:05:21 2023 +0000	Fix a couple small VCF auto-indexing bugs.
be6633a	f24ad2c	Tue Mar 7 16:01:27 2023 +0000	Fix crypt4gh redirection
fda1e03	05ef3b7	Mon Mar 6 16:42:10 2023 +0000	Fix cram_index_query_last function
f2e845c	f68c84f	Tue Feb 14 11:50:26 2023 +0000	Fix Cram compression container substitution matrix generation.
19dc7e8	3fe2a59	Wed Feb 8 13:46:45 2023 +0000	Fix a bug with multi-threading and embed_ref=2 on name sorted data
d40bcf9	463830b	Mon Feb 6 10:05:46 2023 +0000	FIx a bug in the codec learning algorithm for TOKA
dd63fb0	3fd25cd	Thu Dec 15 16:25:34 2022 +0000	fix memory leak
3fd25cd	4328912	Thu Dec 15 16:25:34 2022 +0000	draft fix
58abf07	8e43fb0	Mon Nov 28 10:20:15 2022 +0000	Fix build on ancient versions of gcc
3f67e7e	d7f6579	Thu Nov 3 16:48:28 2022 +0000	Fix ref fix from c91804c
d7f6579	c91804c	Thu Nov 3 12:46:42 2022 +0000	Fix buffer read-overrun in bam_plp_insertion_mod.
32de287	853b801	Fri Oct 14 09:47:17 2022 +0100	Fix a typo in sam.h documentation
3a37408	191ddc0	Fri Sep 2 10:14:19 2022 +0100	Fix error code 0 returned by bcftools after error
5036186	203f5bb	Wed Aug 24 09:53:47 2022 +0100	Fix n-squared complexity in sample line with many adjacent tabs
a1013a6	b47469a	Wed Aug 17 12:01:45 2022 +0100	Fix newer clang warning of unused variable.
136e4a9	ce7e298	Tue Aug 16 16:11:38 2022 +0100	Fix "make check" on MinGW / MacOS. (PR #1496)
b5cc0b7	8f140ee	Mon Aug 15 16:17:17 2022 +0100	Fix clang builds on Windows/mingw.
a6ffbf5	759f696	Wed Aug 10 16:53:15 2022 +0100	Fix SEGV when handling errors from sam_read1_sam without headers
72dfa6d	542dfb8	Wed Jul 27 17:37:30 2022 +0100	Fix leak of MD5 context when entering embed_ref=2 mode
542dfb8	c5508d5	Wed Jul 27 17:37:30 2022 +0100	Fix (un)locking bug introduced in commit 9562aeba
494eca8	4f9a8ba	Thu Jul 14 16:16:27 2022 +0100	Fix unary-not on null strings in expressions
ff49203	506f479	Thu Jul 14 16:16:27 2022 +0100	Fix and_expr expression bug
226c1a8	58d9f60	Tue Jun 21 18:06:57 2022 +0100	Fix breakend detection and test bcf_set_variant_type (PR #1456)
88ccb03	008eabd	Tue May 31 09:29:47 2022 +0100	Fix curl type warning on Windows with gcc 12.1
008eabd	e16c422	Wed May 25 10:16:55 2022 +0100	Fix clang builds under mingw.
