5267858b	2bbde5ba	Sat Jul 15 22:23:52 2023 +0200	HTTP: fix another memory access error (#2049)	commit 5267858b3d09fbc6a70c4bdcabdd176ea26ee72cAuthor: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Sat Jul 15 22:23:52 2023 +0200    HTTP: fix another memory access error (#2049)        ```    =================================================================    ==199079==ERROR: AddressSanitizer: negative-size-param: (size=-1)        #0 0x559a2a6efd4f in strncpy (/home/ivan/svnrepos/nDPI/fuzz/fuzz_ndpi_reader+0x94ad4f) (BuildId: 34aaabba403c6bc5482553ef355360fd2762a157)        #1 0x559a2a9890f0 in ndpi_http_check_content /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:300:8        #2 0x559a2a9812c0 in check_content_type_and_change_protocol /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:910:46        #3 0x559a2a978fee in process_response /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1289:3        #4 0x559a2a97622f in ndpi_check_http_tcp /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1382:9        #5 0x559a2a975d95 in ndpi_search_http_tcp /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1468:3        #6 0x559a2a864970 in check_ndpi_detection_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5948:4        #7 0x559a2a8660df in check_ndpi_tcp_flow_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:6013:12        #8 0x559a2a865d7f in ndpi_check_flow_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:6032:12        #9 0x559a2a876fd6 in ndpi_internal_detection_process_packet /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:7038:15        #10 0x559a2a87311f in ndpi_detection_process_packet /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:7205:22        #11 0x559a2a77381e in packet_processing /home/ivan/svnrepos/nDPI/fuzz/../example/reader_util.c:1710:31        #12 0x559a2a77381e in ndpi_workflow_process_packet /home/ivan/svnrepos/nDPI/fuzz/../example/reader_util.c:2427:10    [...]    ```        Found by oss-fuzz    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=60605
bd0fcb2e	0c5a17ac	Thu Jul 13 10:50:59 2023 +0200	HTTP: fix heap-buffer-overflow (#2044)	commit bd0fcb2e62e5fa1fb3f4342e605e15f1f4920efcAuthor: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Thu Jul 13 10:50:59 2023 +0200    HTTP: fix heap-buffer-overflow (#2044)        ```    =================================================================    ==673246==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x5080000002fd at pc 0x555c6a22eca2 bp 0x7ffe1db9b290 sp 0x7ffe1db9aa48    READ of size 1 at 0x5080000002fd thread T0        #0 0x555c6a22eca1 in strncpy (/home/ivan/svnrepos/nDPI/fuzz/fuzz_process_packet+0x53aca1) (BuildId: 464e7474cde3de91c01588c7ea0161a05ddd6b63)        #1 0x555c6a462a9d in ndpi_http_check_content /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:309:8        #2 0x555c6a45a9a0 in check_content_type_and_change_protocol /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:901:46        #3 0x555c6a4526ce in process_response /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1280:3        #4 0x555c6a44f90f in ndpi_check_http_tcp /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1373:9        #5 0x555c6a44f475 in ndpi_search_http_tcp /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1459:3        #6 0x555c6a348520 in check_ndpi_detection_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5949:6        #7 0x555c6a348f2f in check_ndpi_tcp_flow_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5997:12        #8 0x555c6a348bcf in ndpi_check_flow_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:6016:12        #9 0x555c6a359e26 in ndpi_internal_detection_process_packet /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:7017:15        #10 0x555c6a355f6f in ndpi_detection_process_packet /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:7184:22        #11 0x555c6a284958 in LLVMFuzzerTestOneInput /home/ivan/svnrepos/nDPI/fuzz/fuzz_process_packet.c:24:5    ```        Found by oss-fuzz.    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=60557    Fix: 0b0f255cc
efb261a9	346bb268	Mon May 29 19:24:00 2023 +0200	Fix some memory errors triggered by allocation failures (#1995)	commit efb261a95c5a81ddb148f205d74eab3714155f0dAuthor: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Mon May 29 19:24:00 2023 +0200    Fix some memory errors triggered by allocation failures (#1995)        Some low hanging fruits found using nallocfuzz.    See: https://github.com/catenacyber/nallocfuzz    See: https://github.com/google/oss-fuzz/pull/9902        Most of these errors are quite trivial to fix; the only exception is the    stuff in the uthash.    If the insertion fails (because of an allocation failure), we need to    avoid some memory leaks. But the only way to check if the `HASH_ADD_*`    failed, is to perform a new lookup: a bit costly, but we don't use that    code in any critical data-path.
82fa3a09	46ff0691	Mon May 29 16:53:39 2023 +0200	Fix an heap-buffer-overflow (#1994)	commit 82fa3a098632006cc8edffb647cabee08843524aAuthor: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Mon May 29 16:53:39 2023 +0200    Fix an heap-buffer-overflow (#1994)        ```    ==32439==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x604000000080 at pc 0x564a9a1639ac bp 0x7ffc77d42e20 sp 0x7ffc77d42e18    READ of size 1 at 0x604000000080 thread T0        #0 0x564a9a1639ab in ndpi_check_punycode_string /home/ivan/svnrepos/nDPI/src/lib/ndpi_utils.c:98:12        #1 0x564a9a26025a in ndpi_match_host_subprotocol /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:8652:6        #2 0x564a9a33e45c in ndpi_http_parse_subprotocol /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:446:9        #3 0x564a9a3354b8 in check_content_type_and_change_protocol /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:921:3        #4 0x564a9a32dc8b in process_request /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1237:3        #5 0x564a9a329a9c in ndpi_check_http_tcp /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1351:5        #6 0x564a9a3293ed in ndpi_search_http_tcp /home/ivan/svnrepos/nDPI/src/lib/protocols/http.c:1425:3        #7 0x564a9a21c64a in check_ndpi_detection_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5906:6        #8 0x564a9a21d057 in check_ndpi_tcp_flow_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5954:12    ```        Found by oss-fuzzer.    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=59393
04a426fe	ddb9aa0f	Sat Mar 25 19:19:51 2023 +0100	ndpiReader: fix VXLAN de-tunneling (#1913)	commit 04a426feef3399a2354b4aa10ee2a28cf107fb45Author: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Sat Mar 25 19:19:51 2023 +0100    ndpiReader: fix VXLAN de-tunneling (#1913)        ```    ==20665==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x6040000aec81 at pc 0x0000004f5c6f bp 0x7fff07e9e1f0 sp 0x7fff07e9e1e8    READ of size 1 at 0x6040000aec81 thread T0    SCARINESS: 12 (1-byte-read-heap-buffer-overflow)        #0 0x4f5c6e in ndpi_is_valid_vxlan ndpi/example/reader_util.c:1784:6        #1 0x4f5c6e in ndpi_workflow_process_packet ndpi/example/reader_util.c:2292:16        #2 0x4dd821 in LLVMFuzzerTestOneInput ndpi/fuzz/fuzz_ndpi_reader.c:135:7        #3 0x4f91ba in ExecuteFilesOnyByOne /src/aflplusplus/utils/aflpp_driver/aflpp_driver.c:234:7        #4 0x4f8f8c in main /src/aflplusplus/utils/aflpp_driver/aflpp_driver.c:318:12        #5 0x7f2289324082 in __libc_start_main /build/glibc-SzIz7B/glibc-2.31/csu/libc-start.c:308:16        #6 0x41e6cd in _start    ```    Found by oss-fuzz.    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=57369
ddb9aa0f	530d0de4	Wed Mar 22 18:18:36 2023 +0100	TLS: fix parsing of certificate elements (#1910)	commit ddb9aa0f95ba263361b9be2ba0a122ea1e001be9Author: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Wed Mar 22 18:18:36 2023 +0100    TLS: fix parsing of certificate elements (#1910)        ```    ==1228==ERROR: AddressSanitizer: SEGV on unknown address 0x6040000bed05 (pc 0x00000056e148 bp 0x7ffcca534320 sp 0x7ffcca5330c0 T0)    ==1228==The signal is caused by a WRITE memory access.        #0 0x56e148 in processCertificateElements ndpi/src/lib/protocols/tls.c:682:79        #1 0x56c60f in LLVMFuzzerTestOneInput ndpi/fuzz/fuzz_tls_certificate.c:43:3        #2 0x43de63 in fuzzer::Fuzzer::ExecuteCallback(unsigned char const*, unsigned long) /src/llvm-project/compiler-rt/lib/fuzzer/FuzzerLoop.cpp:611:15        #3 0x4295c2 in fuzzer::RunOneTest(fuzzer::Fuzzer*, char const*, unsigned long) /src/llvm-project/compiler-rt/lib/fuzzer/FuzzerDriver.cpp:324:6        #4 0x42ee6c in fuzzer::FuzzerDriver(int*, char***, int (*)(unsigned char const*, unsigned long)) /src/llvm-project/compiler-rt/lib/fuzzer/FuzzerDriver.cpp:860:9        #5 0x4583a2 in main /src/llvm-project/compiler-rt/lib/fuzzer/FuzzerMain.cpp:20:10        #6 0x7f8c021c9082 in __libc_start_main /build/glibc-SzIz7B/glibc-2.31/csu/libc-start.c:308:16        #7 0x41f78d in _start    ```        Found by oss-fuzz.    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=57317
9eb96645	127d8d0d	Wed Mar 1 20:34:56 2023 +0100	SoftEther: fix invalid memory access	commit 9eb9664516aafb821097f049717c70e576ac18a6Author: Nardi Ivan <nardi.ivan@gmail.com>Date:   Thu Feb 23 14:33:41 2023 +0100    SoftEther: fix invalid memory access        We can't write `flow->protos` union until we are really sure about protocol    classification        ```    ==28334==ERROR: AddressSanitizer: SEGV on unknown address (pc 0x558db5554512 bp 0x000000000000 sp 0x7ffcb22c2880 T0)    ==28334==The signal is caused by a READ memory access.    ==28334==Hint: this fault was caused by a dereference of a high value address (see register values below).  Disassemble the provided pc to learn which register was used.        #0 0x558db5554512 in __asan::Allocator::Deallocate(void*, unsigned long, unsigned long, __sanitizer::BufferedStackTrace*, __asan::AllocType) (/home/ivan/svnrepos/nDPI/fuzz/fuzz_process_packet+0x48e512) (BuildId: 2f71e395637a7b748f36d5a04c7281f18b1128d7)        #1 0x558db55ea54b in __interceptor_free (/home/ivan/svnrepos/nDPI/fuzz/fuzz_process_packet+0x52454b) (BuildId: 2f71e395637a7b748f36d5a04c7281f18b1128d7)        #2 0x558db56977ca in ndpi_free /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:274:7        #3 0x558db56c20e3 in ndpi_free_flow_data /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5175:2        #4 0x558db569783f in ndpi_free_flow /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:8394:5        #5 0x558db5627936 in LLVMFuzzerTestOneInput /home/ivan/svnrepos/nDPI/fuzz/fuzz_process_packet.c:38:3    ```        Found by oss-fuzz    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=56272
f5c2f928	f95bdaf6	Thu Jan 19 14:13:17 2023 +0100	Fix undefined-behaviour in ahocorasick callback (#1864)	commit f5c2f9280cbf06b716a5849cc4f9005a37c49f19Author: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Thu Jan 19 14:13:17 2023 +0100    Fix undefined-behaviour in ahocorasick callback (#1864)        ```    ndpi_main.c:2119:28: runtime error: left shift of 1 by 31 places cannot be represented in type 'int'    ```    Found by oss-fuzz    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=55226
f95bdaf6	edb8165a	Thu Jan 19 14:12:51 2023 +0100	Bittorrent: fix heap-buffer-overflow (#1863)	commit f95bdaf625a540cbd040508bfbb8808223f97aedAuthor: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Thu Jan 19 14:12:51 2023 +0100    Bittorrent: fix heap-buffer-overflow (#1863)        ```    ==258287==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x60600068ff9d at pc 0x5653a6e35def bp 0x7ffeef5aa620 sp 0x7ffeef5a9dc8    READ of size 22 at 0x60600068ff9d thread T0        #0 0x5653a6e35dee in strncmp (/home/ivan/svnrepos/nDPI/fuzz/fuzz_ndpi_reader+0x4d2dee) (BuildId: 133b8c3c8ff99408109fcb9be2538bb8341f07f7)        #1 0x5653a70d6624 in ndpi_search_bittorrent /home/ivan/svnrepos/nDPI/src/lib/protocols/bittorrent.c:500:71        #2 0x5653a6ff255a in check_ndpi_detection_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5686:6        #3 0x5653a6ff331b in check_ndpi_udp_flow_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5722:10        #4 0x5653a6ff2cbc in ndpi_check_flow_func /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:5755:12        #5 0x5653a70016bf in ndpi_detection_process_packet /home/ivan/svnrepos/nDPI/src/lib/ndpi_main.c:6578:15        #6 0x5653a6f1836d in packet_processing /home/ivan/svnrepos/nDPI/fuzz/../example/reader_util.c:1678:31        #7 0x5653a6f140a1 in ndpi_workflow_process_packet /home/ivan/svnrepos/nDPI/fuzz/../example/reader_util.c:2256:10    ```    Found by oss-fuzz    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=55218    Fix: 470eaa6f
5a5e01a9	663df7e4	Thu Jan 5 16:41:53 2023 +0100	PPSTREAM: fix some heap-buffer overflows (#1846)	commit 5a5e01a9e2b66e9238c40583baa70341e9ffc3a5Author: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Thu Jan 5 16:41:53 2023 +0100    PPSTREAM: fix some heap-buffer overflows (#1846)        Found by oss-fuzz    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=54802
9c83f0f3	cb15d2b3	Tue Jan 3 13:21:54 2023 +0100	Fix some warnings and two errors found while fuzzing (#1844)	commit 9c83f0f3c590a896a5edf185040cbfeee8eb10a6Author: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Tue Jan 3 13:21:54 2023 +0100    Fix some warnings and two errors found while fuzzing (#1844)        Fix CI    See: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=54614
22821241	fa67166f	Tue Dec 20 22:50:18 2022 +0100	Fix some errors found by oss-fuzz (#1834)	commit 22821241e2abff6d33f192992b956a119e516cafAuthor: Ivan Nardi <12729895+IvanNardi@users.noreply.github.com>Date:   Tue Dec 20 22:50:18 2022 +0100    Fix some errors found by oss-fuzz (#1834)
