8fb956d28	053995b7e	Sun Jun 11 18:07:04 2023 +0200	Improve doc and tutorials - fix broken links - add missing include in tutorial - change `find_package(PCL ...)` call to search for all components, instead of only two components. This is easier and less error-prone for CMake beginners, who may copy the command without fully understanding it, and later wonder why link errors appear when they use classes from other modules. The tutorial later also shows how to request some components only.
053995b7e	14caf3582	Sun Jun 11 18:03:58 2023 +0200	Small fixes and code improvements - in PCLPointCloud2.h, a cast is necessary, otherwise the elements are printed as characters instead of numbers - in setNumberOfThreads, add debug output/warning if OpenMP is not available - resize is more efficient than substr - implicit_shape_model.hpp: move peak_counter increment inside if-statement. This does not change much in practice because all of the peak_densities are larger than -1.0, but it silences the warning that strongest_peak may be uninitialized - region_growing.hpp and region_growing_rgb.hpp: switch range-for-loop, while also fixing bug (i_point was used in nearestKSearch, but point_index should have been used instead) - pcl_visualizer.hpp: make sure that point and normals are finite, otherwise VTK displays strange things
348bf9cb0	788c53eab	Tue May 23 21:03:36 2023 +0200	Fix bug for tracking object rotation (#5538)
8a402824b	fe19581ca	Tue May 9 12:44:21 2023 +0200	Updated changelog to include Point cloud Editor fix. (#5696)
fe19581ca	f2b9f23eb	Fri Apr 28 11:24:56 2023 +0200	Point Cloud Editor: fix select2D after switch to QOpenGLWidget (#5685)
2e33d5079	e8164148d	Fri Apr 21 10:41:37 2023 +0200	Fix Linux and Windows spinOnce behaviour (#5542)
2934ff58f	3b13f59ac	Mon Apr 17 12:58:24 2023 +0200	fix MSVS not supporting unsigned int in for loop with openMP (#5666)
ff2e760da	e6a3f939f	Sat Apr 8 15:15:50 2023 +0200	People: fix segfault in SSE HoG computation Found by running test_people_detection with valgrind
aed1a9690	e3bf576bf	Thu Apr 6 19:47:03 2023 +0200	Octree: grow in positive direction instead of negative Fixes https://github.com/PointCloudLibrary/pcl/issues/5637 The octree must grow if a point lies outside in (at least) one axis. For each axis, the bounding box may be violated in the lower bound, or upper bound, or neither. Currently, in the last case, the tree will grow in the negative direction. With these changes it will instead grow in the positive direction. This is better because the points will be closer to min_*_, which will lead to smaller errors when computing the key.
26212118d	e3bf576bf	Tue Apr 4 20:48:53 2023 +0200	MinCutSegmentation: use correct allocation size, fix segfault Fixes https://github.com/PointCloudLibrary/pcl/issues/5636
0120b475c	30124ee1a	Fri Mar 24 12:10:10 2023 +0100	fixes #5640
d47f6d7fa	2b1ebddad	Fri Mar 3 15:31:09 2023 +0100	Small fixes and improvements - openni_klt.cpp: initialize counter_ to 0 - conversions.h: use std::size_t instead of uindex_t. This is an improvement when loading large clouds (e.g. more than 2^28 = 268 million XYZI points, because 2^28*16 overflows 32 bit unsigned, 16 being the point step/bytes per point). The user can switch uindex_t from 32 bit unsigned to 64 bit unsigned to solve this, but simply using std::size_t here is easier - voxel_grid_covariance.h: construct array with appropriate size - gicp.hpp: de-mean point neighbourhoods when computing covariance matrices - ppf_registration.hpp: switch messages from info to debug - region_growing.hpp: use auto for indices - opennurbs_system.h: do not throw error when WIN32 is defined (see also https://github.com/microsoft/vcpkg/blob/master/ports/pcl/fix_opennurbs_win32.patch) - octree_viewer.cpp: program name in help text - openni2_viewer.cpp: remove unused variables
0d03224f1	5cd00c9b3	Wed Mar 1 21:09:30 2023 +0100	CMake fixes and improvements - Don\'t disable warnings for gcc (warnings should be fixed by now) - Always add /bigobj flag for MSVC (from https://github.com/microsoft/vcpkg/blob/master/ports/pcl/add_bigobj_option.patch) - Disable kinfu and kinfu_large_scale for CUDA >= 12.0
5cd00c9b3	b551ee47b	Tue Feb 28 13:43:25 2023 +0100	CI: updates and improvements - release pipeline: fix git tag of final release (was previously e.g. pcl-1.13.0-rc0, is now pcl-1.13.0). Pre-releases/release-candidates are still pcl-1.13.0-rc1 - ubuntu-variety: update available compilers - install libboost-system-dev. While this is installed implicitly by libboost-filesystem-dev, PCL needs the `system` module, so we should install it explicitly - install libpcap-dev, an optional dependency of PCL - update actions/checkout to v3 (see https://github.blog/changelog/2022-09-22-github-actions-all-actions-will-begin-running-on-node16-instead-of-node12/)
f0d8a18d6	c85682781	Fri Feb 10 16:19:39 2023 +0100	Fix register macros to match struct definitions
aee41ff23	a9da50be0	Thu Jan 26 21:03:01 2023 +0100	Clang-format: make regex case sensitive To avoid confusion between <queue> and Qt includes Fixes https://github.com/PointCloudLibrary/pcl/issues/5212
9719189cb	a9da50be0 a0488589e	Thu Jan 26 09:16:09 2023 +0100	Merge pull request #5585 from mvieth/integral_image_normal_fix
a9da50be0	407ee41a9	Sun Jan 22 10:47:36 2023 +0100	Fix crash in SpinImageEstimation (#5586)
a0488589e	b3908268b	Thu Jan 19 20:21:14 2023 +0100	Fix access violation in IntegralImageNormalEstimation when using depth dependent smoothing Also some minor fixes: remove unnecessary `smoothing_constant`, make some variables const for readability, and provide better guidance in `setNormalSmoothingSize`
2888c5f3b	9dc4a0e16	Tue Jan 17 10:13:34 2023 +0100	Fix potential memory problems in GICP and IncrementalRegistration (#5557)
fa5b25034	319e433fa 4dbd5c31f	Thu Jan 5 14:34:20 2023 +0100	Merge pull request #5572 from mvieth/local_maximum_fix
4dbd5c31f	fa5224d74	Wed Jan 4 20:31:38 2023 +0100	Fix bug in LocalMaximum filter
0843d7284	d9ca5a45a	Fri Dec 30 09:36:32 2022 +0100	Fix pcl:ply_reader_fuzzer: Crash in pcl::PLYReader::read (#5552)
205d7e824	dd60d99ed	Wed Dec 28 14:41:37 2022 +0100	[tools] Remove NaNs from clouds after loading in icp tool Fixes https://github.com/PointCloudLibrary/pcl/issues/5531
8b9fc0341	7287da79a	Fri Dec 23 14:14:27 2022 +0100	Fix multiple small errors and make improvements - Simplify tools/image_viewer.cpp - OrganizedFastMesh: add test whether input is organized - extractEuclideanClusters: replace exit (should not be used in libraries) - OrganizedPointCloudCompression: add return in case of stream error
7287da79a	d6edd9e00	Fri Dec 23 10:42:15 2022 +0100	Fix bump_post_release It produced something like ros.99 instead of 1.13.0.99
d6edd9e00	e09805520	Fri Dec 23 10:14:38 2022 +0100	Fix memory problems and memory leaks
e268704c8	097660b4d	Tue Dec 20 20:45:24 2022 +0100	Fix randomly failing search tests (organized and octree) (#5555)
d54167f69	f17f6ddb6	Sun Dec 18 14:18:04 2022 +0100	Fix some broken links and use more https
f17f6ddb6	222036f35 ec6ad8e45	Thu Dec 15 11:40:06 2022 +0100	Merge pull request #5522 from SunBlack/fix_C26814
ec6ad8e45	222036f35	Wed Dec 14 15:26:37 2022 +0100	Fix MSVC warning C26814: "The const variable \'variable\' can be computed at compile time. Consider using constexpr."
f64e7ac01	c3cca46b7 b957fbee3	Sat Dec 10 20:04:04 2022 +0100	Merge pull request #5544 from huanglilong/fix_build_vtkMutexLock
c3cca46b7	658b6fa4f	Sat Dec 10 20:02:56 2022 +0100	Fix incorrect printf format specifier and typo (#5536)
44670ff3f	97ab41e1b	Sat Dec 10 19:58:46 2022 +0100	Fix various typos (#5523)
6ae441d67	081a5b1e3 681be8644	Sat Dec 10 19:56:59 2022 +0100	Merge pull request #5517 from SunBlack/fix_latest_cmake_on_kinetic
4ee160793	58f9cfb41	Fri Dec 9 20:56:03 2022 +0100	Fix bad dynamic_casts in visualization Originally, these were static_casts, and https://github.com/PointCloudLibrary/pcl/pull/5504 made them dynamic_casts. However, the objects are not of type vtkPolyDataMapper, so dynamic_cast returns a null pointer.
b957fbee3	58f9cfb41	Tue Dec 6 17:35:51 2022 +0800	fix build with vtk by rm vtkMutexLock.h
9f9994726	58f9cfb41	Fri Dec 2 16:42:35 2022 +0100	Fix unused-but-set-variable warnings of Clang 15
0b06fcf70	58f9cfb41	Mon Nov 28 09:33:01 2022 +0100	Fix Link to github in ensenso_cameras.rst
58f9cfb41	0cf4f910d 90afd3441	Sat Nov 19 22:29:45 2022 +0100	Merge pull request #5516 from mvieth/fix_header_deprecation_macro
90afd3441	0cf4f910d	Sat Nov 19 20:15:16 2022 +0100	Fix problem in header deprecation macro - The "GCC warning" pragma is not shown for system headers. The "message" pragma seemingly is shown - Re-add previously removed headers because their deprecation messages weren\'t displayed. Set PCL 1.15 as new removal date
6c5b48927	802bf9905 49d7bc83e	Wed Nov 9 14:29:00 2022 +0100	Merge pull request #5510 from joerowelll/bug_fix
