127ad70782	61d16a6501	Tue Jul 25 17:54:14 2023 +0200	Fix open_basedir leak	commit 127ad70782f9bf5c245a7b55a1c420f2d67b993fAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Jul 24 23:23:32 2023 +0200    Fix open_basedir leak        Fixes oss-fuzz #60741    Closes GH-11780
060df83a98	9c47f33a5f	Wed Jul 12 11:01:23 2023 +0200	Fix double-compilation of arrow-function	commit 060df83a985e9cba523400bbb59462e56d52cf37Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Sat Jul 8 13:00:23 2023 +0200    Fix double-compilation of arrow-function        We transform the arrow function by nesting the expression into a return    statement. If we compile the arrow function twice this would be done twice,    leading to a compile assertion.        Fix oss-fuzz #60411    Closes GH-11632
dc73b73f8b	3483229199	Wed Jun 28 20:35:29 2023 +0200	Fix mis-compilation of by-reference nullsafe operator	commit dc73b73f8b48e178b5eed40c15af05f6a2c905c3Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Jun 26 19:08:52 2023 +0200    Fix mis-compilation of by-reference nullsafe operator        Fixes oss-fuzz #60011    Closes GH-11540        Co-authored-by: Dmitry Stogov <dmitry@zend.com>    Co-authored-by: Niels Dossche <7771979+nielsdos@users.noreply.github.com>
fae42c8bd8	6c015ae8fe	Wed Jun 21 14:59:05 2023 +0200	Fix assertion violation for invalid class const objects in const expressions (#11458)	commit fae42c8bd832174a17a804d0da0bfd624fd071e4Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Wed Jun 21 14:59:05 2023 +0200    Fix assertion violation for invalid class const objects in const expressions (#11458)        Fixes oss-fuzz #59764
0a04c008d0	12c30a8da3	Thu May 11 14:33:49 2023 +0200	Fix potential NULL pointer access in zend_fiber_object_gc	commit 0a04c008d0df2cb5e3d54c10d2f73516730ee384Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Thu May 11 14:33:49 2023 +0200    Fix potential NULL pointer access in zend_fiber_object_gc        Accidentally introduced in GH-11208.        Fixes oss-fuzz #58795
25ad171f63	8fc023cbae	Tue May 2 12:02:20 2023 +0300	JIT: Fixed inaccurate range inference usage for UNDEF/NULL/FALSE	commit 25ad171f63b7ba8b8fd323e26466951f512a666fAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue May 2 12:02:20 2023 +0300    JIT: Fixed inaccurate range inference usage for UNDEF/NULL/FALSE        Fixes oss-fuzz #58459
5855bdcd6c	0ab51a9561	Thu Apr 20 10:18:18 2023 +0200	Fix reference returned from CallbackFilterIterator::accept()	commit 5855bdcd6c83ce272075bdde42af55e423e441fbAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Thu Apr 20 10:18:18 2023 +0200    Fix reference returned from CallbackFilterIterator::accept()        Fixes oss-fuzz #58181
b340e10d6e	5a4083181b	Mon Apr 17 15:23:06 2023 +0200	Fix uninitialized memory in parse_ini_string()	commit b340e10d6e32df0ca586e06d0c9406402b47205fAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Apr 17 14:15:22 2023 +0200    Fix uninitialized memory in parse_ini_string()        Introduced by GH-11014        Fixes oss-fuzz #58080    Closes GH-11092
c4a1100f19	4082d425a9	Mon Apr 10 16:41:43 2023 +0200	Fix unevaluated rhs of class constant fetch in constant expression (#11047)	commit c4a1100f190efce41eab728e84788d2491cc4c71Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Apr 10 16:41:43 2023 +0200    Fix unevaluated rhs of class constant fetch in constant expression (#11047)        Fixes oss-fuzz #57821
1f5d9534ae	9b15537e9a	Mon Mar 27 17:57:54 2023 +0300	Fix incorrect optimization	commit 1f5d9534ae342871e247294f36276f20aba238e1Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 27 17:57:54 2023 +0300    Fix incorrect optimization        Fixes oss-fuzz #57482
57029ce92e	c2f3a605f0	Sat Mar 25 17:42:39 2023 +0100	Fix buffer-overflow in php_fgetcsv() with \\0 delimiter and enclosure	commit 57029ce92ec5312752eaf436e4e61742d838a520Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Fri Mar 24 15:19:58 2023 +0100    Fix buffer-overflow in php_fgetcsv() with \0 delimiter and enclosure        Fixes oss-fuzz #57392    Closes GH-10923
ce5f75fb6f	b1a49ff053	Mon Mar 13 09:38:11 2023 +0000	Fixed oss-fuzz #56931	commit ce5f75fb6f5d572060c0401d2cc295689916acb5Author: Derick Rethans <github@derickrethans.nl>Date:   Mon Mar 13 09:38:11 2023 +0000    Fixed oss-fuzz #56931
7202fe16b7	22c9e7e27e	Mon Mar 6 14:55:34 2023 +0100	Fix GH-10709: UAF in recursive AST evaluation	commit 7202fe16b7fc3691ef151162e9aba4d665edecd5Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Feb 27 13:47:57 2023 +0100    Fix GH-10709: UAF in recursive AST evaluation        Fixes https://oss-fuzz.com/testcase-detail/6445949468934144    Closes GH-10718
35a36b13e5	f291d37a1a	Thu Feb 2 19:18:17 2023 +0100	Fix comp-time and constant evaluation of dynamic class constant fetch	commit 35a36b13e539c252d309f1799b5f653cf76921bdAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Thu Feb 2 15:40:50 2023 +0100    Fix comp-time and constant evaluation of dynamic class constant fetch        Fixes GH-10486    Fixes oss-fuzz #55436    Fixes oss-fuzz #55472    Closes GH-10487
81607a62ca	ec4939b170	Mon Jan 30 13:15:05 2023 +0300	Fix type inference	commit 81607a62ca85d016699e16344a5cebca9edba46aAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jan 30 13:15:05 2023 +0300    Fix type inference        Fixes oss-fuzz #55358
0464524292	e7b6c2efd1	Mon Dec 26 13:20:55 2022 +0300	Fix memory leak because of incorrect optimization	commit 0464524292635eb5de1764845f52e7aa877138e7Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 26 13:20:55 2022 +0300    Fix memory leak because of incorrect optimization        Fixes oss-fuzz #54488
683285165e	351055e434	Mon Dec 19 12:11:16 2022 +0300	Fix memory leak	commit 683285165e94bbe8ed387e3850b0b776b804f948Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 19 12:11:16 2022 +0300    Fix memory leak        Fixes oss-fuzz #54320
a8bd342397	b8c1b5e9fa	Mon Nov 14 12:35:09 2022 +0300	Fix memory leak	commit a8bd342397cc783870b9e4d3fcc4775402790136Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Nov 14 12:35:09 2022 +0300    Fix memory leak        Fizes oss-fuzz #53143
05b63b1593	de4b502fef	Mon Nov 7 12:19:54 2022 +0300	Don\'t check "fake" closures (fix assertion)	commit 05b63b15932393e43e7c9cd80f3e100fb8a89f3bAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Nov 7 12:19:54 2022 +0300    Don't check "fake" closures (fix assertion)        Fixes oss-fuzz #53078
f31f464cec	1cd217038e	Mon Nov 7 11:07:58 2022 +0300	Fix memory leak	commit f31f464cec530783c6d783cfd0c4c7a6ddade30aAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Nov 7 11:07:58 2022 +0300    Fix memory leak        Fixes oss-fuzz #52999
261a08af65	2caa79e963	Mon Oct 24 12:02:28 2022 +0300	JIT: Fix incorrect EX(opline) override	commit 261a08af65168e24c43a81321284f3f461f3500dAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Oct 24 12:02:28 2022 +0300    JIT: Fix incorrect EX(opline) override        Fixes oss-fuzz #52674
eecbb60db6	d282345e11	Mon Oct 17 15:08:21 2022 +0300	Fix memory leak	commit eecbb60db62bf3c7062eaf1bcb4e0a1b041d0edcAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Oct 17 15:08:21 2022 +0300    Fix memory leak        Fixes oss-fuzz #52479
ed652a514f	5ca4113386	Mon Oct 3 17:08:11 2022 +0300	Fix register allocation (missing store)	commit ed652a514fab0cbe797504f850ea64bd2ed1c4d2Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Oct 3 17:08:11 2022 +0300    Fix register allocation (missing store)        This fixes oss-fuzz #52022
