7923b75	bc601ae	Thu Mar 2 17:02:32 2023 -0500	protoparse: fixes to issues reported in v1.15.0 (#554)
220303e	fea8ba4	Wed Jan 25 15:53:37 2023 -0500	another fuzz test fix, even newer version of protocompile (#546)
fea8ba4	d2a36df	Thu Jan 19 10:23:17 2023 -0500	newer protocompile with potential fix to fuzz test perf issue (#545)
0facb74	3b27be2	Thu Nov 17 08:30:15 2022 -0500	desc/builder: fix missing detached leading comments (#539)
25e6f5d	060cc04	Tue Jul 26 17:17:51 2022 -0400	protoparse: fix scoping issue for extendees and field type names; also fix articles in error messages (#520)
438db46	1fd73d2	Sat Apr 16 19:46:38 2022 -0700	protoparse: fix panic in linker; handle synthetic oneofs (#512)
3f69e23	0c2aedc	Mon Feb 14 13:14:48 2022 -0500	fix possible nil-dereference panic (#496)
3240deb	e5b6528	Sun Feb 13 10:19:43 2022 -0500	protoprint: fix superfluous trailing space (#494)
0e352eb	6224817	Sat Feb 12 22:07:21 2022 -0500	protoprint: fix bug where comments on method options were not included in output (#492)
260eab9	d4949d2	Fri Feb 4 12:05:10 2022 -0500	protoparse: fix extension resolution in custom options to match protoc (#484)
d02a936	602a8db	Tue Jan 18 12:01:22 2022 -0500	dynamic: fix octal escapes in object keys at MarshalJSONPB (#481)
602a8db	36912e1	Tue Jan 18 11:23:04 2022 -0500	fix panic in linker if there is a symbol name collision between a file with an AST and one without (#477)
329bde3	bcf8f24	Mon Nov 1 13:22:16 2021 -0400	fix bug in dynamic message: unmarshaling JSON into google.protobuf.Value when JSON value is an array (#443)
bcf8f24	61218df	Sun Oct 31 11:34:50 2021 -0400	protoparse: another fix to parsing numeric literals (#437)
22c2acd	833c417	Fri Oct 29 12:20:45 2021 -0400	protoparse: fix another edge case with options and oneofs (#434)
db1a327	302c6b7	Tue Aug 17 14:12:03 2021 -0400	fix more inconsistencies between protoparse and protoc (#414)
302c6b7	d3608fa	Thu Aug 5 11:46:51 2021 -0400	fix panics in protoparse identified by oss-fuzz (#412)
a6abd35	05026f3	Fri May 28 23:15:22 2021 -0400	protoparse: take 2 on fixing symbol resolution to properly match protoc\'s C++-like namespace handling (#397)
05026f3	2837af4	Thu May 27 16:26:29 2021 -0400	protoparse: fix symbol resolution to correctly mimic protoc behavior, which is more strict (#393)
2837af4	8255811	Mon Apr 26 11:42:27 2021 -0400	desc/builder: fix typo that resulted in wrong message being removed from its parent (#390)
ef73590	efe7c09	Wed Dec 9 23:50:34 2020 -0500	protoparse: fix recently introduced issue with trailing comment on last element in file (#374)
8269465	a68abe2	Fri Nov 20 12:26:59 2020 -0500	fix double options in protoprint (#370)
a68abe2	711a839	Fri Nov 20 09:01:09 2020 -0500	desc/builder: fixed tag assignments when message has mix of fields with and without tags (#365)
711a839	0050302	Thu Nov 5 21:20:28 2020 -0500	fix missing public/weak modifiers for imports in protoprint (#367)
cb62454	886271e	Sun Jul 19 23:30:22 2020 -0400	fix panic when extension value has map w/ no value (#340)
3216fce	8d2d934	Mon Jul 13 10:45:33 2020 -0400	fix panic when protoparse consumes non-proto file (#337)
887a08f	6294aea	Thu May 28 23:21:44 2020 -0400	protoparse: fix panic due to ErrorWithSourcePos being created with no position (#326)
b6666e6	b97137b	Sun Apr 26 21:42:29 2020 -0400	refactor protoparse, fixes multiple issues (#316)
b97137b	c1f7119	Thu Apr 16 16:12:47 2020 -0400	fix broken tests due to recent protobuf deprecations (#310)
43f6903	10815c2	Thu Dec 5 20:57:20 2019 -0500	fix comments for fields that start with a dot (proto3 fields with fully-qualified type name) (#294)
af6c2b7	5374ad0	Wed Oct 23 17:52:34 2019 -0400	fix unused assignments caught by staticcheck (#288)
c0b9111	76f37dc	Thu Sep 19 07:27:04 2019 -0400	Fix text proto string field marshal issue. (#280)
76f37dc	c47b58f	Sun Aug 25 11:34:01 2019 -0400	fix panic in protoparse (#272)
9d66a93	b3561f5	Tue Aug 20 20:55:45 2019 -0400	fixup path separators in protoparse.ResolveFilenames so it works correctly on Windows (#269)
b3561f5	c67d679	Tue Aug 20 15:19:05 2019 -0400	codec: fix code to work without XXX_Marshal (#268)
e9bc1d6	bd35b72	Fri Aug 2 10:52:56 2019 -0400	Fix go.mod for Go 1.13 (#258)
1d90f7f	6ff4792	Sun Jul 21 22:27:31 2019 -0400	update to using protoc 3.9.0; fix code-gen to match go.mod version of protoc-gen-go (#243)
d24a736	3d62350	Wed Jul 17 13:52:12 2019 -0400	fix panic in binary decoding when skipping over data that has invalid length prefix (#235)
3d62350	efa672c	Wed Jul 17 12:33:28 2019 -0400	protoprint: fix panics (#234)
efa672c	d6619a5	Tue Jul 16 22:19:03 2019 -0400	protoparse: fix option source locations (#231)
ae7b4b3	f5500d9 b894209	Tue Jul 2 20:40:30 2019 -0400	Merge pull request #226 from jhump/jh/fix-resolve-filenames
efd29ef	528f44e 192fe12	Wed Jun 12 12:26:46 2019 -0400	Merge pull request #222 from jhump/jh/fix-issue-parsing-wk-imports
af618f5	27593fd beea418	Sat Jun 8 21:53:12 2019 -0600	Merge pull request #218 from jhump/jh/fix-message-registry-base-urls
beea418	49ba0a8	Sat Jun 8 21:44:04 2019 -0600	fix base URL bugs in ComputeURL
0e05915	9d022f1	Wed Jun 5 16:54:00 2019 -0700	fix: return input type rather than reflect.Value from deleteBuilder
9d022f1	f0c0d11 56b1822	Mon Jun 3 06:30:05 2019 -0700	Merge pull request #216 from jhump/jh/fix-ineffassign
7ba873f	31febe9	Wed May 22 16:20:08 2019 -0400	Fix test
3d80c92	aa18de2	Wed May 22 15:44:24 2019 -0400	Fix tests
e0d034f	08a7f1e c34e654	Mon May 6 11:10:36 2019 -0400	Merge pull request #195 from jhump/jh/fix-panic-in-protoparse
c34e654	08a7f1e	Mon May 6 10:31:36 2019 -0400	fix panic in protoparse when given empty file
fbff474	712f996 34e7cd5	Tue Mar 26 14:10:43 2019 -0400	Merge pull request #182 from jhump/jh/fix-dynamic-msg-equal
97dc99c	8bfeffd 62170ef	Fri Mar 22 11:36:47 2019 -0400	Merge pull request #177 from jhump/jh/fix-build
